comparison,method_a,method_b,mean_f1_a,mean_f1_b,mean_diff_pct,ci_low_pct,ci_high_pct,p_two_sided,n,significant_95
JSON − Vector (3단계 vs 1단계 표현),Plain Text Vector RAG,JSON Serialization Vector RAG,33.77,14.83,-18.93,-26.6,-11.37,0.0,100,No
Text-to-Pandas − Vector,Plain Text Vector RAG,Text-to-Pandas Agent,33.77,54.57,20.8,11.3,30.57,0.0,100,Yes
RDF − Vector,Plain Text Vector RAG,RDF Template SPARQL v3,33.77,58.4,24.63,14.97,34.4,0.0,100,Yes
XLSX − Vector,Plain Text Vector RAG,XLSX Template Executor v4,33.77,65.4,31.63,20.4,42.7,0.0,100,Yes
Text-to-Pandas − JSON,JSON Serialization Vector RAG,Text-to-Pandas Agent,14.83,54.57,39.73,29.17,50.37,0.0,100,Yes
XLSX − JSON,JSON Serialization Vector RAG,XLSX Template Executor v4,14.83,65.4,50.57,40.5,60.13,0.0,100,Yes
XLSX − Text-to-Pandas (쿼리 자동생성 손실),Text-to-Pandas Agent,XLSX Template Executor v4,54.57,65.4,10.83,-1.57,22.83,0.0912,100,No
RDF − Text-to-Pandas,Text-to-Pandas Agent,RDF Template SPARQL v3,54.57,58.4,3.83,-7.77,15.13,0.4978,100,No
XLSX − RDF (구조별 상한선),RDF Template SPARQL v3,XLSX Template Executor v4,58.4,65.4,7.0,-1.13,15.13,0.0948,100,No
